Rk,Player,Tm,FantPos,Age,G,GS,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
89,Tyler Shough,NOR,QB,26,11,9,158.0,158.0,172.0,164.0,,26,
90,Kenneth Gainwell,PIT,RB,26,17,2,148.0,221.3,228.3,184.8,,24,
91,Joe Flacco,2TM,QB,40,13,10,147.0,146.7,162.7,156.7,,27,
92,Rhamondre Stevenson,NWE,RB,27,14,13,147.0,178.8,187.8,162.8,,25,
93,Quinshon Judkins,CLE,RB,22,14,14,144.0,169.8,175.8,156.8,,26,
94,Justin Fields,NYJ,QB,26,9,9,143.0,142.7,152.7,143.7,,28,
95,David Montgomery,DET,RB,28,17,0,143.0,166.9,173.9,154.9,,27,
96,Joe Burrow,CIN,QB,29,8,8,134.0,134.5,142.5,139.5,,29,
97,Jacory Croskey-Merritt,WAS,RB,24,17,7,131.0,140.3,145.3,135.8,,28,
98,Mac Jones,SFO,QB,27,11,8,130.0,130.0,141.0,136.0,,30,
99,Kyle Monangai,CHI,RB,23,17,1,129.0,146.7,152.7,137.7,,29,
100,Kareem Hunt,KAN,RB,30,17,4,127.0,145.4,152.4,136.4,,30,
101,Woody Marks,HOU,RB,25,16,8,127.0,151.1,157.1,139.1,,31,
102,Marcus Mariota,WAS,QB,32,11,8,126.0,125.5,141.5,132.5,,31,
103,J.J. McCarthy,MIN,QB,22,10,10,125.0,125.4,145.4,137.4,,32,
104,Tyrone Tracy Jr.,NYG,RB,26,15,11,125.0,160.8,167.8,142.8,,32,
105,Michael Penix,ATL,QB,25,9,9,120.0,120.3,128.3,123.3,,33,
106,Justin Jefferson,MIN,WR,26,17,17,118.0,201.5,204.5,159.5,,30,
107,Deebo Samuel,WAS,WR,29,16,12,116.0,188.2,191.2,152.2,,31,
108,Jordan Mason,MIN,RB,26,16,5,115.0,128.9,132.9,121.9,,33,
109,Ladd McConkey,LAC,WR,24,16,12,115.0,180.9,183.9,147.9,,32,
110,Blake Corum,LAR,RB,25,17,0,114.0,122.2,125.2,118.2,,34,
111,Jayden Daniels,WAS,QB,25,7,7,114.0,114.3,125.3,117.3,,34,
112,Troy Franklin,DEN,WR,22,17,7,112.0,177.1,181.1,144.6,,33,
113,Romeo Doubs,GNB,WR,25,16,15,110.0,165.4,168.4,137.9,,34,
114,Tyler Allgeier,ATL,RB,25,17,2,109.0,123.0,126.0,116.0,,35,
115,Bucky Irving,TAM,RB,23,10,9,109.0,138.5,145.5,123.5,,36,
116,J.K. Dobbins,DEN,RB,27,10,9,105.0,115.9,118.9,110.4,,37,
117,Tre Tucker,LVR,WR,24,17,17,105.0,161.7,164.7,133.2,,35,
118,Kirk Cousins,ATL,QB,37,10,8,104.0,103.5,112.5,108.5,,35,
119,Omarion Hampton,LAC,RB,22,9,6,104.0,135.7,141.7,119.7,,38,
120,Cam Skattebo,NYG,RB,23,8,5,104.0,127.7,134.7,115.7,,39,
121,Juwan Johnson,NOR,TE,29,17,10,103.0,179.9,184.9,141.4,,12,
122,Rachaad White,TAM,RB,26,17,8,103.0,143.0,149.0,123.0,,40,
123,Keenan Allen,LAC,WR,33,17,3,102.0,182.7,185.7,142.2,,37,
124,Rome Odunze,CHI,WR,23,12,12,102.0,146.1,149.1,124.1,,36,
125,Kimani Vidal,LAC,RB,24,13,10,102.0,117.9,123.9,109.9,,41,
126,Jakobi Meyers,2TM,WR,29,16,13,101.0,175.8,179.8,138.3,,38,
127,Spencer Rattler,NOR,QB,25,9,8,98.0,99.1,112.1,103.6,,36,
128,Rashid Shaheed,2TM,WR,27,18,13,98.0,156.6,160.6,127.1,,39,
129,Rashee Rice,KAN,WR,25,8,8,97.0,150.1,153.1,123.6,,41,
130,Christian Watson,GNB,WR,26,10,10,97.0,132.4,135.4,114.9,,40,
131,Dalton Schultz,HOU,TE,29,17,6,96.0,177.7,180.7,136.7,,13,
132,AJ Barner,SEA,TE,23,17,17,95.0,147.3,150.3,121.3,,14,
133,Chuba Hubbard,CAR,RB,26,15,6,95.0,125.4,132.4,110.4,,42,
134,Khalil Shakir,BUF,WR,25,16,10,94.0,166.4,170.4,130.4,,42,
135,Jordan Addison,MIN,WR,23,14,12,93.0,135.1,138.1,114.1,,43,
136,Kayshon Boutte,NWE,WR,23,14,10,91.0,124.1,127.1,107.6,,44,
137,Aaron Jones,MIN,RB,31,12,12,91.0,118.7,125.7,104.7,,44,
138,Devin Singletary,NYG,RB,28,17,1,91.0,108.8,114.8,99.8,,43,
139,Brian Thomas,JAX,WR,23,14,14,91.0,138.8,141.8,114.8,,45,
140,Marquise Brown,KAN,WR,28,16,6,89.0,137.7,140.7,113.2,,46,
141,Jayden Higgins,HOU,WR,23,17,10,89.0,129.5,132.5,109.0,,47,
142,Chris Rodriguez,WAS,RB,25,13,7,89.0,92.0,95.0,90.5,,45,
143,Marvin Harrison Jr.,ARI,WR,23,12,10,87.0,127.8,130.8,107.3,,48,
144,Dalton Kincaid,BUF,TE,26,12,4,87.0,126.1,129.1,106.6,,15,
145,Colby Parkinson,LAR,TE,26,15,10,87.0,129.8,133.8,108.3,,16,
146,Tucker Kraft,GNB,TE,25,8,8,85.0,117.2,120.2,101.2,,17,
147,Shedeur Sanders,CLE,QB,23,8,7,85.0,84.9,101.9,94.9,,37,
148,Mark Andrews,BAL,TE,30,17,11,83.0,131.0,134.0,107.0,,18,
149,Theo Johnson,NYG,TE,24,15,15,83.0,127.8,130.8,105.3,,19,
150,Sean Tucker,TAM,RB,24,17,0,83.0,91.4,94.4,87.4,,46,
151,Oronde Gadsden II,LAC,TE,22,15,7,82.0,131.4,135.4,106.9,,20,
152,Luther Burden,CHI,WR,22,15,5,81.0,127.9,130.9,104.4,,49,
153,Emanuel Wilson,GNB,RB,26,17,2,80.0,94.5,97.5,87.0,,47,
154,Bhayshul Tuten,JAX,RB,22,15,0,79.0,88.6,92.6,83.6,,48,
155,Chimere Dike,TEN,WR,24,17,10,78.0,126.1,130.1,102.1,,51,
156,Josh Downs,IND,WR,24,16,11,78.0,136.4,140.4,107.4,,50,
157,Kyler Murray,ARI,QB,28,5,5,78.0,77.8,87.8,80.8,,38,
158,Elic Ayomanor,TEN,WR,22,16,14,76.0,116.5,119.5,96.0,,53,
159,Zach Ertz,WAS,TE,35,13,13,76.0,126.4,129.4,101.4,,21,
160,Ty Johnson,BUF,RB,28,17,0,76.0,100.3,106.3,88.3,,49,
161,Terry McLaurin,WAS,WR,30,10,10,76.0,114.2,117.2,95.2,,52,
162,Nick Chubb,HOU,RB,30,15,9,75.0,88.3,91.3,81.8,,50,
163,Ryan Flournoy,DAL,WR,26,16,4,74.0,114.0,117.0,94.0,,54,
164,Pat Freiermuth,PIT,TE,27,17,8,73.0,113.6,116.6,93.1,,22,
165,Jalen Nailor,MIN,WR,26,17,8,72.0,100.7,103.7,86.2,,55,
166,Brenton Strange,JAX,TE,25,12,12,72.0,118.0,121.0,95.0,,23,
167,Jerry Jeudy,CLE,WR,26,17,16,71.0,120.7,124.7,95.7,,56,
168,Zonovan Knight,ARI,RB,24,12,8,71.0,92.9,99.9,81.9,,51,
169,Malik Washington,MIA,WR,24,17,6,71.0,116.7,123.7,93.7,,57,
170,Dillon Gabriel,CLE,QB,25,10,6,70.0,70.1,75.1,72.1,,40,
171,Carson Wentz,MIN,QB,33,5,5,70.0,70.3,78.3,75.3,,39,
172,Cooper Kupp,SEA,WR,32,16,15,69.0,116.3,121.3,93.8,,58,
173,Davis Mills,HOU,QB,27,6,3,69.0,68.6,72.6,69.6,,41,
174,Alvin Kamara,NOR,RB,30,11,11,68.0,100.7,108.7,84.2,,53,
175,Dawson Knox,BUF,TE,29,17,12,68.0,103.7,106.7,85.7,,25,
176,Chig Okonkwo,TEN,TE,26,17,12,68.0,124.0,127.0,96.0,,24,
177,Isiah Pacheco,KAN,RB,26,13,12,68.0,87.3,93.3,77.8,,52,
178,Xavier Worthy,KAN,WR,22,14,13,68.0,109.9,112.9,88.9,,59,
179,Mack Hollins,NWE,WR,32,15,13,67.0,113.4,116.4,90.4,,60,
180,Sam LaPorta,DET,TE,24,9,9,67.0,106.9,109.9,86.9,,26,
181,Tyjae Spears,TEN,RB,24,13,1,67.0,111.7,117.7,89.2,,54,
182,Michael Carter,ARI,RB,26,13,5,66.0,99.0,105.0,82.5,,55,
183,DeMario Douglas,NWE,WR,25,17,0,65.0,95.8,98.8,80.3,,61,
184,Darren Waller,MIA,TE,33,9,3,65.0,88.7,91.7,76.7,,27,
185,Keon Coleman,BUF,WR,22,13,6,64.0,102.4,106.4,83.4,,62,
186,Tez Johnson,TAM,WR,23,16,8,64.0,92.4,95.4,78.4,,63,
187,Garrett Wilson,NYJ,WR,25,7,7,64.0,99.5,102.5,81.5,,64,
188,Xavier Hutchinson,HOU,WR,25,17,6,63.0,98.0,101.0,80.5,,65,
189,Cade Otton,TAM,TE,26,16,16,63.0,122.2,125.2,92.7,,28,
190,T.J. Hockenson,MIN,TE,28,15,15,62.0,112.8,115.8,87.3,,29,
191,Darius Slayton,NYG,WR,28,14,12,62.0,98.8,102.8,80.3,,66,
192,Tyquan Thornton,KAN,WR,25,14,4,62.0,80.8,83.8,71.3,,67,
193,Samaje Perine,CIN,RB,30,15,2,61.0,77.9,82.9,69.4,,56,
194,Isaac TeSlaa,DET,WR,23,17,3,60.0,75.9,78.9,67.9,,68,
195,Tyrod Taylor,NYJ,QB,36,6,4,59.0,59.5,71.5,64.5,,42,
196,Jake Tonges,SFO,TE,26,17,2,59.0,93.3,96.3,76.3,,30,
197,KaVontae Turpin,DAL,WR,29,15,2,59.0,84.5,88.5,71.5,,69,
198,Jalen Coker,CAR,WR,24,11,3,57.0,90.4,94.4,73.9,,70,
199,Andrei Iosivas,CIN,WR,26,17,9,57.0,89.9,92.9,73.4,,71,
200,Marvin Mims,DEN,WR,23,15,4,56.0,93.0,97.0,74.5,,72,
201,Calvin Austin III,PIT,WR,26,14,7,55.0,86.2,89.2,70.7,,73,
